곡,아티스트,장르,인기도,댄스,에너지,긍정도,템포
Gotta Find A Way,Frank Mccomb,r&b,10,73,32,79,74
Orange Moon,Erykah Badu,r&b,50,47,15,12,98
Ooh Nah Nah (feat. Masego),SiR,r&b,64,85,27,57,117
Mood,dvsn,r&b,56,62,45,17,69
Gonna Love Me,Teyana Taylor,r&b,70,51,51,31,88
Backwood,Ari Lennox,r&b,53,61,38,59,74
Around Me,Brent Faiyaz,r&b,64,59,18,12,75
BMO,Ari Lennox,r&b,67,72,65,81,158
I Will Go Down,Y'Akoto,r&b,21,73,48,48,180
Blame Me,Hannah Williams,r&b,6,56,50,38,107
Im Gonna Be (500 Miles),Kendra Morris,r&b,16,57,73,59,82
Eye to Eye,Lee Fields & The Expressions,r&b,26,45,57,48,173
Know Til Now - Pixelated Remix,Jim James,r&b,0,75,72,54,108
Miss You,Leela James,r&b,37,81,57,77,106
Like A Fool,Crazy P,r&b,6,77,65,20,120
Feelin' Lovely,Devonté Hynes,r&b,1,72,76,70,90
Walk on By,Kendra Morris,r&b,5,60,64,46,105
Do I,Alice Smith,r&b,21,70,47,53,123
Move On Up,The Dynamics,r&b,0,84,71,97,146
Carry This,Y'Akoto,r&b,20,80,41,38,130
Wild Side,Cross My Heart Hope To Die,r&b,0,43,84,36,149
Stepping Stone,Duffy,r&b,50,69,52,47,98
Got It Bad,LEISURE,r&b,4,79,53,50,96
Fool's Gold,Jill Scott,r&b,42,67,54,26,89
Silky Soul,Maze,r&b,0,60,66,68,95
Window Seat,Erykah Badu,r&b,56,64,54,56,82
Bag Lady,Erykah Badu,r&b,53,72,42,58,151
When It Hurts so Bad,Ms. Lauryn Hill,r&b,0,67,52,82,160
Dancewitme,Maxwell,r&b,36,71,62,70,98
Heaven,John Legend,r&b,0,42,82,45,190
U Do It For Me,Algebra Blessett,r&b,0,69,71,52,89
I Don't Care,Raheem DeVaughn,r&b,9,71,81,40,106
I Found My Smile Again,D'Angelo,r&b,3,81,38,54,93
When We Get By,D'Angelo,r&b,0,76,41,70,109
8 Minutes to Sunrise,Common,r&b,15,81,76,57,88
I'm Not Afraid,Jill Scott,r&b,26,81,47,54,91
Always on My Mind,Brandy,r&b,33,71,40,42,90
Foreplay,Jalen Santoy,r&b,66,73,42,50,118
Dang! (feat. Anderson .Paak),Mac Miller,r&b,75,84,67,56,107
I Fall in Love Too Easliy,Caleb Belkin,r&b,62,66,35,23,142
Bluebird,One Self,r&b,50,78,80,65,86
Slow,Animate Objects,r&b,16,82,63,48,110
GoodEnough,blackwave.,r&b,49,77,48,60,93
New Day,Abstract Orchestra,r&b,45,75,41,34,92
We Ain't Feeling Time,FKJ,r&b,56,55,44,20,84
Appletree,Erykah Badu,r&b,59,88,45,62,95
Blue in Green,Anti-Lilly & Phoniks,r&b,45,79,54,76,92
If You Wouldn't Mind,2nd Exit,r&b,0,77,59,83,180
Telltale,Cultivo,r&b,20,59,66,51,97
Brains,Jam Baxter,r&b,42,67,67,66,140
BIG Dreams,blackwave.,r&b,41,52,90,74,168
"Ease My Mind - Feat. Tre Hardson, Fat Lip & Omni",Jazz Liberatorz,r&b,46,69,57,61,96
I Want Cha Back,Yung Bae,r&b,40,78,88,86,117
Fun Tonight,Macross 82-99,r&b,52,61,94,60,130
Aogashima Island!,Macross 82-99,r&b,30,65,67,71,120
Destiny,Night Tempo,r&b,21,59,99,27,120
Better Days,Night Tempo,r&b,30,65,89,85,100
君は1000%,1986 Omega Tribe,r&b,45,68,44,76,132
Phoenix,1986 Omega Tribe,r&b,33,69,62,73,114
November,LemKuuja,r&b,0,78,79,88,115
Night Cruise,T-SQUARE,r&b,0,56,66,80,208
Sukiyaki,Kyu Sakamoto,r&b,51,42,36,40,146
恋に溺れて -Crazy About You-,Junko Ohashi,r&b,30,69,82,44,118
ひと夏のタペストリー,Tomoko Aran,r&b,30,88,57,81,128
Riverside Hotel,オメガトライブ,r&b,32,61,77,63,127
愛が止まらない ~Turn It Into Love~,Wink,r&b,43,62,85,70,119
Plastic Love,リアムMAZE1981,r&b,50,54,88,84,123
Words Don’t Come Easy,Mamamoo,r&b,46,87,55,73,120
Never Call Me,Jhené Aiko,r&b,0,53,31,12,121
Childsplay,IAMDDB,r&b,0,42,53,20,94
Penthouse Cloud,The Internet,r&b,45,50,42,27,89
Melt My Heart to Stone,Adele,r&b,57,35,39,19,81
Doubt,Charlotte Day Wilson,r&b,51,55,33,22,125
Sweet Life,Frank Ocean,r&b,58,48,56,80,83
Move On,Faye Meana,r&b,16,71,31,50,184
Crossfire / So Into You,Nai Palm,r&b,54,48,37,38,81
Something In The Way,Jorja Smith,r&b,4,63,46,26,61
Vibin' Out with ((( O ))),FKJ,r&b,66,41,17,21,89
Stellar,Jamila Woods,r&b,49,68,36,57,87
Joromi,Simi,r&b,36,67,78,63,100
Feel Like A Fool,Kali Uchis,r&b,53,70,81,86,108
Summer Dayz,Jamie Jones,r&b,0,80,49,79,86
Extra Credit,Adrianne Archie,r&b,2,74,54,93,162
What A Friend,Sean C. Johnson,r&b,14,48,49,53,76
You're Everything,Sunny Hawkins,r&b,4,74,31,58,81
Isle of You,Christon Gray,r&b,29,57,44,46,132
Steppin',Antonio Neal,r&b,6,66,72,51,88
Who Would've Thought,Green Tea,r&b,0,68,55,59,92
Moment Divine,Green Tea,r&b,1,60,65,49,83
So I,Jamie Jones,r&b,0,82,54,79,99
You Make Me,Daniel Johnson,r&b,10,50,70,66,79
Surrender,Debra Killings,r&b,7,60,52,73,76
Beauty Mark,Deonna Martin,r&b,1,37,42,32,112
Beautiful Light,J.R.,r&b,5,54,89,59,172
Hey Now,Lisa McClendon,r&b,0,76,48,64,95
Alright (Song of the Sunrise),Lisa McClendon,r&b,0,68,59,56,75
Just Ain't Gonna Work Out,Mayer Hawthorne,r&b,51,78,54,75,91
Wake up Everybody (feat. Common & Melanie Fiona),John Legend,r&b,54,64,47,66,94
Love Is The Answer,Aloe Blacc,r&b,36,70,43,82,105
Number One,John Legend,r&b,1,69,84,77,88
Everyday,Lucy Pearl,r&b,51,74,64,88,82
Biggest Joke Of All,Fatima,r&b,41,88,35,38,98
Constant Surprises,Little Dragon,r&b,0,65,63,68,58
All of Me,John Legend,r&b,85,42,26,33,120
Darkness and Light,John Legend,r&b,52,59,78,60,122
Skin,Dijon,r&b,67,67,62,55,95
How Deep Is Your Love,Stan Taylor,r&b,38,46,23,35,84
I Used to Love Someone,Anthony Hamilton,r&b,25,68,72,23,90
Chasing Pavements,Adele,r&b,7,62,47,33,80
Since I Seen't You,Anthony Hamilton,r&b,42,43,71,53,90
Warwick Avenue,Duffy,r&b,8,48,58,54,169
Mama Knew Love,Anthony Hamilton,r&b,41,64,70,77,79
The Worst,Jhené Aiko,r&b,40,50,41,12,94
Lover,Sweetback,r&b,24,70,38,60,81
Retrograde,James Blake,r&b,1,30,25,20,78
Never Change,Choklate,r&b,25,40,69,62,92
Sharpness,Jamie Woon,r&b,52,85,58,67,98
Just Give Me Your Time,Sharon Jones & The Dap-Kings,r&b,9,33,34,13,64
All Around You,Sturgill Simpson,r&b,50,31,56,51,186
Tennessee Whiskey,Chris Stapleton,r&b,77,39,37,51,49
Any Day Will Do Fine,Michael Kiwanuka,r&b,29,52,38,37,105
Everybody Knows (The River Song),O.V. Wright,r&b,29,42,21,45,210
Syrup & Honey,Duffy,r&b,0,46,24,29,91
"It's A Man's, Man's, Man's World",James Brown,r&b,51,65,35,55,81
Hit The Ground,Lizz Wright,r&b,40,58,22,15,107
Who's Lovin' You,Michael Bublé,r&b,47,53,56,75,70
I Think of You,Sandra Lynn,r&b,42,50,60,23,76
The High Road,Joss Stone,r&b,0,52,79,66,152
Everything Looks Beautiful,Lucie Silvas,r&b,23,39,44,31,140
The Way I Do,Bishop Briggs,r&b,60,33,61,12,159
Slow Dance,Kelly Clarkson,r&b,46,40,47,43,188
And I Love Him,Esther Phillips,r&b,47,59,28,60,106
Infinite Ammo,Le Castle Vania,edm,46,60,96,14,127
Outlaw,Bassjackers,edm,38,67,88,5,105
I Want to Know,Divite,edm,42,56,76,29,128
425,Friz,edm,28,85,46,48,127
Lost In Japan - Remix,Shawn Mendes,edm,75,71,86,29,107
Stay High - Habits Remix,Tove Lo,edm,69,74,68,7,121
FRIENDS - R3hab Remix,Marshmello,edm,62,55,81,70,105
Don't Let Me Down - Illenium Remix,The Chainsmokers,edm,64,43,66,36,80
Let The Bass,Sesco,edm,25,74,97,26,128
What You Wanted,The Keymakers,edm,32,78,69,46,120
I Will Let You Down (feat. KLARA),Madison Mars,edm,59,61,92,42,126
Menage A Trois - Ellipso Remix,LIZOT,edm,48,60,86,29,128
Nothing Else (When I Think Of You) - Steff da Campo Remix,Joe Stone,edm,41,72,81,51,126
Don't Worry (feat. Aloe Blacc),Mesto,edm,66,74,73,55,126
Escape,Thomas Gold,edm,39,44,77,24,128
Find You,ARTY,edm,57,62,95,37,125
I'll Be Here For You,Sick Individuals,edm,57,51,92,34,128
Where Are You Now,Stadiumx,edm,46,61,86,27,128
You Got The Love,Keanu Silva,edm,62,74,92,70,124
Lambo,DubVision,edm,55,77,75,63,128
GUD VIBRATIONS - Habstrakt Remix,NGHTMRE,edm,57,68,97,18,125
IM GONE,JOYRYDE,edm,62,66,95,21,126
Fuji Opener,Skrillex,edm,58,66,94,58,150
Give It to Me,Yellow Claw,edm,47,61,96,33,150
OMG,ricky retro,edm,51,82,75,61,126
Shook Up,Axel Boy,edm,35,73,98,35,135
Get Dirty,Brooke Evers,edm,57,78,93,49,125
Ectoplasm,Wolfgang Gartner,edm,37,63,77,12,126
Make It Pop,Nonsens,edm,39,85,98,18,126
Kulio - Bonus Track,Matroda,edm,39,80,91,65,124
Need A Beat,YounG (KO),edm,30,78,77,46,125
That Beat,Matroda,edm,28,76,95,43,126
Snowstorm,Borgore,edm,37,85,97,18,125
Rush,BROHUG,edm,39,68,92,12,125
Save the Rave,Tommie Sunshine,edm,46,78,88,78,126
The Gold Line,Swardy,edm,34,78,64,12,116
Paspatou,Parra for Cuva,edm,55,63,48,18,148
Noir,QQUN,edm,43,67,66,34,115
Get Lost - Ford. Remix,Bearson,edm,53,62,51,24,90
Atlas,Lane 8,edm,58,64,56,17,122
I Wanna Go,Summer Heart,edm,50,61,74,34,103
Encore,MR TOUT LE MONDE,edm,28,72,57,22,120
Sally,Prigida,edm,23,63,66,4,170
Bastille,Triomphe,edm,36,64,25,18,120
Yr Love - Midnight Version,Roosevelt,edm,40,80,69,86,121
Coquillages & crustacés,Notre Dame,edm,31,86,45,35,105
blue,Pools,edm,40,76,55,67,134
Place de l'étoile,Triomphe,edm,33,66,41,27,114
Falling Back,Roosevelt,edm,54,55,93,62,115
Nothing But You (feat. Donnie Sloan & Ricky Ducati),Devault,edm,52,60,63,27,111
Hypnotize,PARTY SHIRT,edm,45,81,58,52,126
Hallucination,Vidojean X Oliver Loenn,edm,37,61,92,25,123
Moyocoyotzin,GIGEE,edm,39,68,76,20,125
Happiness,Hotway,edm,33,63,87,27,123
I Want You (Forever) - Josh Butler Remix - Radio Edit,Carl Cox,edm,58,87,66,30,126
Cathedral - Project North Edit,Corx,edm,49,63,94,44,128
You Could Be Mine,Audax,edm,44,65,88,60,124
For the Night,VINNE,edm,42,75,83,47,124
Inconsolable Soldier - Cevin Fisher Remix,Jay Hill,edm,26,66,62,12,124
Bingo,Palm Vision,edm,18,57,81,52,125
Free Falling,VINNE,edm,43,72,89,44,126
Love For Latinas - Radio Edit,Kramder,edm,31,62,93,70,125
Never Giving Up - English Version,Avinash Kalra,edm,20,61,66,15,160
Kobol - Original Mix,Efrén Atienza,edm,27,74,67,48,180
No Time to Be,Kramder,edm,26,76,99,60,124
Lights Go Down,Mike Candys,edm,59,74,81,15,125
Loco Papi,Sevenn,edm,47,76,99,79,125
Turn Me On (feat. Vula),Riton,edm,86,74,83,52,124
No Stress - Sofi Tukker Remix,Laurent Wolf,edm,40,58,93,6,130
Ibiza (Desaparecidos Vs Walter Master J) - Raf Marchesini & ,Desaparecidos,edm,44,73,96,48,128
Lost,Chris Burke,edm,37,62,70,19,128
Post Malone (feat. RANI) - VIZE Remix,Sam Feldt,edm,72,69,89,34,124
Not Really (Busta K Remix),Sage Charmaine,edm,21,66,48,32,123
With You,Rammor,edm,41,50,55,8,115
Let It Breathe - Pandhora Remix,Mynox,edm,25,79,68,27,123
Be My Oxygen,Kev.,edm,32,53,72,34,145
Lie Machine,En-Ten,edm,30,81,83,73,120
Twenties,Wolfgang Lohr,edm,42,73,84,91,121
Swag Rag,Riff Kitten,edm,35,88,92,70,130
Doo Ding,Minimatic,edm,24,72,69,84,180
Tattoos,Caravan Palace,edm,31,83,96,65,120
Waves of 84,The Swing Bot,edm,49,86,62,44,122
Mega Run - Downtown Jump,DJ ZsuZsu,edm,27,98,79,81,125
Make Me Dizzy (Radio Edit),Phos Toni,edm,36,94,72,51,124
The Great News,Glenn Gatsby,edm,28,77,98,82,122
Bella Ciao,Klischée,edm,45,88,81,82,128
Gringo,Parov Stelar,edm,46,87,74,84,124
Shoot Him Down,Alice Francis,edm,40,93,83,86,112
Peeping Tom - Original Mix,Jamie Berry,edm,53,72,73,72,100
Day & Night,Odd Chap,edm,45,86,92,72,128
Minnie the Moocher,Pisk,edm,43,72,90,56,126
Let Yourself Go,Swing Republic,edm,40,94,58,77,121
Flirtatious,Luke & The Belleville Orchestra,edm,20,96,63,91,125
The Trumpet,Sound Nomaden,edm,37,74,75,81,128
All Night,Parov Stelar,edm,56,80,62,83,125
Joe's Break,Minimatic,edm,40,76,73,82,115
Hit That Jive,Gramatik,edm,55,90,68,69,100
Mais Non - 1920 Version,Klischée,edm,45,86,88,85,128
Take It Easy,Carola Jasmins,edm,37,81,83,90,115
Moonlight Jive,Proleter,edm,38,75,62,79,99
Whoopee,Bart & Baker,edm,36,78,77,78,105
Grandpa's Groove - Extended Version,Parov Stelar,edm,38,83,70,78,123
The Cat Came Back - Bdd Remix Edit,Luca Lento,edm,1,79,93,89,127
Sing It Back,Swing Republic,edm,1,73,59,90,121
1941 (feat. Virian),Klaypex,edm,42,88,84,84,125
Latency,Martin Garrix,edm,49,66,94,45,128
Bombai,Dyro,edm,48,62,97,22,126
Basslyn,Bart B More,edm,39,83,73,52,125
I Know U,Dyro,edm,37,84,90,38,130
Whisper,Seth Hills,edm,35,76,88,22,126
Rebound,Seth Hills,edm,31,70,92,24,126
Scream,TV Noise,edm,29,65,92,69,128
"Made In France (with Tchami & Malaa, feat. Mercer)",DJ Snake,edm,62,84,95,51,126
911,Saint Punk,edm,37,75,97,40,125
FALL,deadmau5,edm,57,84,80,4,128
Hell on Earth,Rezz,edm,56,60,92,28,180
Animals (feat. Moa Lisa) - Alora & Senii Remix,Charlie Who?,edm,27,63,89,88,124
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,edm,70,73,85,37,124
Treehouse - R3HAB Remix,James Arthur,edm,56,37,78,29,88
Not Ok - Frank Walker Remix,Kygo,edm,66,68,87,44,122
Who Am I (feat. Conrad Sewell),Enzo Ingrosso,edm,58,57,89,58,128
Carry On - Nicky Romero Remix,Kygo,edm,67,45,68,44,126
Think About You - Galantis Remix,Kygo,edm,63,62,90,33,124
Dreamers - Uta & Jay Forest Remix,TooManyLeftHands,edm,38,54,86,16,128
Blah Blah Blah,Armin van Buuren,edm,63,38,96,16,103
Infinity 2018 - Klaas Remix Edit,Sean Finn,edm,51,52,92,50,128
Do It for Love,Erlandsson,edm,21,67,77,37,128
Forever,Martin Garrix,edm,62,45,90,22,128
Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,edm,66,68,82,50,90
First Time - Gryffin Remix,Kygo,edm,48,49,81,43,105
Back to You,Manse,edm,0,70,91,36,125
Just Some Loops - Original Mix,Martin Garrix,edm,0,81,81,22,128
Virus (How About Now),Martin Garrix,edm,3,49,84,7,128
Pyramids - Radio Mix,DVBBS,edm,1,60,96,22,128
Forbidden Voices,Martin Garrix,edm,5,53,71,30,128
Gold Skies - Tiësto Remix,Sander van Doorn,edm,0,55,97,44,128
Lean On (feat. MØ & DJ Snake) - Tiësto & MOTi Remix,Major Lazer,edm,0,46,89,21,128
Spaceships,AREA21,edm,4,44,77,52,150
FAWL (From Amsterdam With Love) - Radio Edit,Alpharock,edm,0,55,81,29,128
Magnum,DubVision,edm,8,68,91,36,126
WIEE,Martin Garrix,edm,49,52,84,37,128
Amsterdam (AMF 2016 Anthem),Jay Hardway,edm,0,56,84,22,128
Animals - Radio Edit,Martin Garrix,edm,8,59,92,4,128
Joyride,Bassjackers,edm,0,72,78,37,128
Money Maker - Mike Williams Remix,Throttle,edm,0,77,85,68,128
Gimme Some More,LOOPERS,edm,16,59,96,42,128
Don't Stop Believin',Leontine,edm,50,65,82,25,135
Bathing Suit Body,Badpojken,edm,41,71,92,74,128
Astronomia,Vicetone,edm,49,65,94,33,126
In the Name of Love - DallasK Remix,Martin Garrix,edm,59,52,82,10,134
Bad Boy Ken (feat. Siri),Badpojken,edm,47,74,77,59,124
Capsize - Dzeko & Torres,FRENSHIP,edm,46,80,86,85,108
So Far Away - Nicky Romero Remix,Martin Garrix,edm,40,57,49,24,126
In the Morning,Jaded,edm,1,76,88,62,124
I Like to Move it - Radio Mix,Nicola Fasano,edm,54,72,93,62,128
Whatever I Want,Carta,edm,25,72,96,32,126
Playtime,Oomloud,edm,46,72,95,27,126
In The Place,SLVR,edm,34,73,87,59,126
Tear it,Raven & Kreyn,edm,35,79,95,28,128
Simulation,Glass Petals,edm,39,78,80,46,125
Automatic,Deniz Koyu,edm,36,57,94,22,126
They Know,HUGEL,edm,50,87,87,64,126
Stronger,Breathe Carolina,edm,41,72,91,51,126
Antigravity,Khrebto,edm,0,77,94,39,130
Came For The Low,ZHU,edm,61,79,53,13,118
In My Mind,Dynoro,edm,3,68,69,11,126
Daylight,Disciples,edm,42,96,57,89,122
Drop That,Loge21,edm,0,77,64,15,124
Revolution - Deep In Jersey Mix,Harry Romero,edm,28,87,84,14,124
Count On You - ATFC's C-thru Remix,Autoerotique,edm,44,82,92,57,123
The Eye of the Beholder,Victor Ruiz,edm,26,76,87,4,126
Kurupt (Lucati Remix),Tchami,edm,28,75,79,50,123
No Fear,Visage Music,edm,28,92,40,27,122
Is This How the End Comes,Jaw,edm,1,78,71,80,128
Catfish,PAX,edm,31,77,75,70,125
Liquid Spirit - Claptone Remix,Gregory Porter,edm,63,88,62,30,121
Voices From The Dawn,Adriatique,edm,46,72,78,3,121
My Back,Incognet,edm,36,65,97,36,125
EF2MOZ,Ben Remember,edm,32,50,94,3,124
Turn Down for What,DJ Snake,edm,72,82,80,8,100
Aye,New World Sound,edm,0,77,84,17,129
Flashing Lights,Laidback Luke,edm,0,72,96,31,129
Helicopter - Video Edit,Martin Garrix,edm,2,58,96,16,128
Miraj - Original Mix,Sandro Silva,edm,0,55,93,41,130
Titan - Original Mix,Blasterjaxx,edm,0,68,94,35,128
Cube,New World Sound,edm,0,78,96,3,126
ACIIID - Original Mix,Moguai,edm,0,65,94,7,129
I'm So Hot - Tonic Remix,J-Trick,edm,23,84,91,71,128
Sasha Gray - Radio Edit,DJ Kuba,edm,7,75,94,29,128
Let's Get F*cked Up,MAKJ,edm,42,74,93,7,128
Wasted - Ummet Ozcan Remix,Tiësto,edm,39,68,92,43,128
Snow White (Alive) - Radio Edit,Muttonheads,edm,0,67,81,58,130
Show Me Love - Official Festival Mix Edit,Michael Mind Project,edm,40,61,76,9,130
Don't Start Now - Kungs Remix,Dua Lipa,edm,47,66,70,25,122
Drunk,Chris Night,edm,36,89,69,55,124
I Can Handle It (feat. Liz Hill) - Gianni Bini & Fabio Vela ,Fabio Vela,edm,26,81,86,42,125
The Power,Duke Dumont,edm,68,62,83,19,122
Tonight - VIZE Remix,Milk for Two,edm,47,66,89,44,129
Wish You Well - Benny Benassi Remix,Sigala,edm,16,59,83,58,125
I'm Not Alone - CamelPhat Remix,Calvin Harris,edm,58,57,97,4,123
F.U.D.,Alizzmatic,edm,18,83,50,64,128
Overdose,Semser,edm,19,75,43,28,127
Eclipse,Martin Numan,edm,16,79,87,82,125
God´s Plan,Semser,edm,14,66,69,43,140
Mortal Transition,Semser,edm,16,51,92,33,124
HIP3 (Interlude),Semser,edm,15,74,64,8,114
Today Is a Good Day,Tetengo,edm,13,56,77,65,125
Energy,Rob Stepwart,edm,14,82,72,69,128
The Time,Rob Stepwart,edm,14,83,76,75,128
Fuck the Game,Rob Stepwart,edm,15,53,76,69,144
Spell on Me,Chris Goldarg,edm,17,73,57,70,128
X Ray,Chris Goldarg,edm,15,77,98,36,125
Inception,Dj Electrocimatic,edm,18,67,92,34,129
One Night of Karma,Tetengo,edm,20,87,74,90,127
Blaze of Glory,Daemus Moon,edm,19,45,96,89,128
Headshoot,Kalerous,edm,14,62,88,65,128
New Rules,Miscris,edm,54,90,62,19,128
Lyd (Like You Do),Lucky Luke,edm,49,72,71,18,128
Calabria - Firebeatz Remix,Rune RK,edm,60,65,89,43,128
Crazy,TRFN,edm,57,78,58,8,124
Lift Me Up,Toby Green,edm,2,60,97,26,125
Let's Go,Lucas & Steve,edm,55,63,84,18,126
Bang Bang 99,Dwin,edm,48,61,81,21,128
Whiskey Riddim,Vato Gonzalez,edm,40,68,93,43,126
Bad Love (Esh Remix),Vice,edm,30,78,71,13,120
Op Opa,Gaullin,edm,57,82,74,29,125
The Riddle Anthem - Rework,Mike Candys,edm,54,80,93,46,126
E.B.Y.T.,Lucky Luke,edm,45,74,48,46,126
Wa Wa - Radio Edit,Sam Collins,edm,46,78,61,70,120
Pumped up Kicks (feat. Joy Corporation),Dubdogz,edm,60,76,80,69,122
Like I Do,David Guetta,edm,72,64,90,15,128
Here With Me (feat. Nevve),ARMNHMR,edm,38,34,80,35,145
Take Me Home,KAAZE,edm,53,70,87,38,125
Forever,Jimmy Clash,edm,37,56,86,49,126
With Or Without You - Kage Remix,Maddix,edm,32,78,80,66,124
Tecno,Crossnaders,edm,37,68,98,26,125
Cutoff,BROMYGO,edm,26,74,91,30,127
Doberman,Matisse & Sadko,edm,50,54,99,36,125
MADNESS,MR.BLACK,edm,28,35,95,8,134
Losing My Religion - Ton Don Remix,Jones & Brock,edm,32,62,91,28,124
Shoot N Miss,Rob & Jack,edm,32,61,97,70,128
My City,KAAZE,edm,39,54,80,46,128
Raise,VITIZE,edm,31,56,74,12,128
Outta Control,Winning Team,edm,22,56,90,37,128
Take Me,Castion,edm,17,53,97,9,128
Losing Hope,Stormerz,edm,29,48,90,32,150
Ready For Action,Dimitri Vegas & Like Mike,edm,55,64,97,17,130
Stellar,Sansixto,edm,20,56,96,21,128
Something - Quintino Remix,Funk Machine,edm,35,54,82,17,150
TRN IT UP,Matt Watkins,edm,23,53,92,32,115
One time,Awaker,edm,20,58,93,4,128
Workout,Agus Zack,edm,35,62,99,17,128
Okay,Oliver Wade,edm,19,78,87,37,126
RAW,L3N,edm,19,66,90,15,128
Solstice,Boothed,edm,17,63,98,35,126
Infinity,TBR,edm,19,57,96,20,128
Tremor - Sensation 2014 Anthem,Dimitri Vegas & Like Mike,edm,58,63,94,45,128
Mammoth - Original,"Dimitri Vegas, Moguai & Like Mike",edm,31,63,85,46,128
Bigfoot,W&W,edm,41,61,93,14,128
Off The Hook,Hardwell,edm,53,70,95,15,130
The Only Way Is Up - Radio Edit,Martin Garrix,edm,50,59,81,17,128
Animals,Martin Garrix,edm,36,68,86,4,128
Bazaar (Official Sunburn Goa 2015 Anthem),KSHMR,edm,2,58,98,20,128
Megalodon - Original Mix Edit,KSHMR,edm,0,26,94,14,192
Voodoo - Original Mix,DVBBS,edm,0,65,82,10,128
Dharma,Headhunterz,edm,1,33,92,39,191
L'Amour Toujours - Tiësto Edit,Dzeko & Torres,edm,13,59,93,17,130
Caribbean Rave,W&W,edm,44,60,90,67,128
Booyah - Original Mix,Showtek,edm,0,74,95,52,128
Savior - Radio Edit,Bassjackers,edm,1,75,88,31,128
All Systems Down,Andrew Rayel,edm,31,40,95,10,127
Came to Play - Original Version,Colin Cooper,edm,41,58,74,28,104
Dreamer - Nicky Romero Remix,Martin Garrix,edm,52,44,75,35,124
So Close - Curbi Remix,NOTD,edm,21,64,88,12,128
Lose Control,Tiësto,edm,1,75,97,28,130
TURN OFF THE LIGHTS,Dog Blood,edm,1,77,99,76,128
EDM O' CLOCK,TV Noise,edm,50,80,90,20,126
Runaway,Manse,edm,44,59,75,23,128
Candy On The Dancefloor,Tujamo,edm,62,71,81,48,126
Money,Brodi,edm,14,74,98,52,123
Only You,Pete Kingsman,edm,23,56,75,52,145
Dare Me,NERVO,edm,60,82,78,72,124
Feel The Rush - Juelzz Radio Edit,Ingenia,edm,12,65,94,48,128
Something Real,Armin van Buuren,edm,65,57,81,23,128
By Your Side,The Him,edm,44,64,94,48,126
Going Back To You,Kehele Keff,edm,39,57,69,18,128
The King (with Dzeko),Dimitri Vangelis & Wyman,edm,62,66,73,29,128
Money Money,Yves V,edm,39,67,94,30,126
Wild Bill,Marc Benjamin,edm,35,78,86,71,128
"Mush, Mush (2019 Reboot)",Bassjackers,edm,47,85,75,59,128
Hide Away (feat. Envy Monroe),Blasterjaxx,edm,42,57,75,13,130
Wonderful Together (feat. Envy Monroe),Blasterjaxx,edm,53,59,76,24,130
Bass,MGM,edm,22,85,87,57,128
Aliens,Jay Hardway,edm,41,66,98,28,128
Tsunami,DVBBS,edm,59,70,84,26,128
Electric Elephants,Jay Hardway,edm,51,59,93,25,128
Unbroken (feat. Gia Koka),Quintino,edm,44,57,77,11,128
Cobra - Radio Edit,Tony Junior,edm,31,54,93,4,128
Crowd Control - Radio Edit,Dimitri Vegas & Like Mike,edm,56,34,96,12,140
Ghost in the Machine - Radio Edit,Blasterjaxx,edm,0,56,98,6,130
Going Crazy,Hardwell,edm,24,60,97,24,128
Yin Yang,Maurice West,edm,27,52,92,25,128
Deja Vu (feat. Delora) - Radio Edit,DVBBS,edm,36,54,86,17,128
Cosmic Dark - Radio Edit,Pitchback,edm,23,51,92,29,130
Voltage,NWYR,edm,38,30,89,19,132
Virus (How About Now),Martin Garrix,edm,43,49,82,8,128
Mayhem,Steve Aoki,edm,5,60,96,8,128
Beat of My Heart (feat. Love Harder),Lost Frequencies,edm,49,71,52,30,112
Storm (feat. Kyra Mastro) - Siks Remix,Famba,edm,35,72,84,85,125
Time After Time (feat. Jessie Ware),Franky Wah,edm,58,64,82,22,122
We Are the Young,Addal,edm,57,66,82,58,110
Gold,Digital Farm Animals,edm,36,78,49,77,82
Roses - Imanbek Remix,SAINt JHN,edm,88,77,72,90,122
Flash Pose,Pabllo Vittar,edm,53,77,86,43,124
Instagram - R3HAB Remix,Dimitri Vegas & Like Mike,edm,63,44,86,50,123
Punching in the Dark,Hellberg,edm,52,68,62,37,110
BANG (with Helion),Medon,edm,54,72,85,25,128
Hands Up,J-ZAID,edm,24,64,55,4,128
Wicked (with Helion),Medon,edm,46,68,90,7,128
Back To Me,Vhask,edm,21,70,83,10,126
I'm Blue,BIMONTE,edm,36,60,81,6,128
Feel Good,Dark Culture,edm,18,71,90,46,120
Alone (feat. Anjulie & Jeffrey Jey),Marnik,edm,66,55,78,34,128
Say Damn,who.am.i,edm,37,79,65,73,97
The Spook,KSHMR,edm,51,72,94,29,128
Run Away,The Cousins,edm,36,61,96,70,126
Do Bad Well (feat. Nevve),KSHMR,edm,62,60,89,42,128
Senseless,MARKZ,edm,27,74,77,14,128
Brandvarm (Theis EZ Remix),Fremmed,edm,32,85,79,64,128
Midnight,EADWINE,edm,18,72,54,25,128
Better Than Me,Edvin & Tim,edm,35,71,81,25,128
(Rock) Superstar,Cypress Hill,edm,60,80,76,72,94
