곡,아티스트,장르,인기도,댄스,에너지,긍정도,템포
Better When You're Gone,David Guetta,pop,76,65,80,41,128
Love Me,Felix Cartal,pop,60,75,82,61,117
Instant Crush,Daft Punk,pop,75,78,58,52,110
Starboy,The Weeknd,pop,15,68,59,48,186
Lush Life,Zara Larsson,pop,20,69,71,80,98
Shots - Broiler Remix,Imagine Dragons,pop,15,73,78,58,120
Watch Out For This (Bumaye),Major Lazer,pop,2,82,76,88,108
Rise (feat. Skylar Grey),David Guetta,pop,43,66,72,25,130
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,pop,17,66,71,69,102
Sexy Bitch (feat. Akon),David Guetta,pop,18,81,63,80,130
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,pop,71,60,73,52,86
Fast Car,Jonas Blue,pop,22,46,59,58,114
Lean On (feat. MØ & DJ Snake),Major Lazer,pop,13,72,81,27,98
Burn,Ellie Goulding,pop,70,56,78,33,87
Espada,Javiera Mena,pop,0,66,92,92,127
Espejo,Javiera Mena,pop,35,66,81,50,123
Cámara Lenta,Javiera Mena,pop,0,50,54,46,87
Noche,Javiera Mena,pop,26,52,84,31,194
Como Siempre Soñé,Javiera Mena,pop,0,68,80,37,122
"Un Audífono Tú, un Audífono Yo",Javiera Mena,pop,0,61,54,34,138
Casan (No Puedo Bloquear Lo Que Quiero Dar),Javiera Mena,pop,0,68,36,69,147
Novias,El Guincho,pop,28,82,66,85,140
Closer,The Chainsmokers,pop,62,74,54,66,95
Stay,Zedd,pop,79,69,62,54,102
No Type,Rae Sremmurd,pop,74,89,49,24,125
Sun Is Shining,Axwell /\ Ingrosso,pop,71,47,76,38,132
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper &",DJ Khaled,pop,76,61,67,81,81
Final Song,MØ,pop,71,70,67,24,105
Revolution,Diplo,pop,58,63,72,31,148
Animals,Maroon 5,pop,75,28,74,33,190
Hymn for the Weekend,Coldplay,pop,77,49,74,36,90
Only Girl (In The World),Rihanna,pop,8,77,74,68,126
Attention,Charlie Puth,pop,23,77,63,78,100
Under Control,Calvin Harris,pop,72,54,92,51,126
When The Sun Goes Down,The.madpix.project,pop,20,50,92,42,119
Love Me Harder,Ariana Grande,pop,9,47,71,24,99
Show Me the Way - Radio Edit,The.madpix.project,pop,5,70,84,44,128
Party Rock Anthem,LMFAO,pop,71,75,74,35,130
Wish You Were Here - Radio Edit,The.madpix.project,pop,12,69,92,41,125
I Feel It Coming,The Weeknd,pop,80,77,82,58,93
Mercy,Shawn Mendes,pop,9,56,67,38,148
We Are Young (feat. Janelle Monáe),fun.,pop,75,38,64,74,184
Gabby,The Internet,pop,47,50,78,66,157
Dance Apocalyptic,Janelle Monáe,pop,45,58,78,65,206
Faster,Janelle Monáe,pop,38,72,80,73,120
Isn't This The World,Janelle Monáe,pop,31,44,41,27,183
In Your Dreams - Main Version - Explicit,OutKast,pop,31,82,80,32,103
