이름,분류,질량g,낙하,연도,위도,경도
Asuka 881189,L6,63.97,Found,1988,-72.0,26.0
Asuka 881201,H4,15.25,Found,1988,-72.0,26.0
Asuka 881210,Diogenite,40.16,Found,1988,-72.0,26.0
Asuka 881220,Ureilite,48.97,Found,1988,-72.0,26.0
Asuka 881229,L4,1321.22,Found,1988,-72.0,26.0
Asuka 881238,H5,22.02,Found,1988,-72.0,26.0
Asuka 881248,H4,70.21,Found,1988,-72.0,26.0
Asuka 881258,H3.0,274.09,Found,1988,-72.0,26.0
Asuka 881267,H4,60.49,Found,1988,-72.0,26.0
Asuka 881277,CK5,129.57,Found,1988,-72.0,26.0
Asuka 881288,H4,60.98,Found,1988,-72.0,26.0
Asuka 881298,H3.7,123.21,Found,1988,-72.0,26.0
Asuka 881311,H5,51.16,Found,1988,-72.0,26.0
Asuka 881327,LL3,31.15,Found,1988,-72.0,26.0
Asuka 881339,H5,21.25,Found,1988,-72.0,26.0
Asuka 881352,L6,18.72,Found,1988,-72.0,26.0
Asuka 881363,L4,105.42,Found,1988,-72.0,26.0
Asuka 881375,L5,173.54,Found,1988,-72.0,26.0
Asuka 881385,L6,313.86,Found,1988,-72.0,26.0
Asuka 881395,L6,2140.93,Found,1988,-72.0,26.0
Asuka 881406,EH3,16.49,Found,1988,-72.0,26.0
Asuka 881416,H4,48.69,Found,1988,-72.0,26.0
Asuka 881429,H6,167.35,Found,1988,-72.0,26.0
Asuka 881445,L5,34.39,Found,1988,-72.0,26.0
Asuka 881457,H4,11.82,Found,1988,-72.0,26.0
Asuka 881467,Eucrite-mmict,38.4,Found,1988,-72.0,26.0
Asuka 881476,H5,111.37,Found,1988,-72.0,26.0
Asuka 881494,L3.3,414.65,Found,1988,-72.0,26.0
Asuka 881510,H4,16.19,Found,1988,-72.0,26.0
Asuka 881523,H5,11.11,Found,1988,-72.0,26.0
Asuka 881540,H4,15.45,Found,1988,-72.0,26.0
Asuka 881551,C6,162.48,Found,1988,-72.0,26.0
Asuka 881564,L4,37.22,Found,1988,-72.0,26.0
Asuka 881574,H5,15.29,Found,1988,-72.0,26.0
Asuka 881591,H4,12.94,Found,1988,-72.0,26.0
Asuka 881606,H4,27.89,Found,1988,-72.0,26.0
Asuka 881615,H4,229.75,Found,1988,-72.0,26.0
Asuka 881626,H3.7,80.06,Found,1988,-72.0,26.0
Asuka 881637,L3,195.62,Found,1988,-72.0,26.0
Asuka 881647,LL3,14.33,Found,1988,-72.0,26.0
Asuka 881660,H5,10.45,Found,1988,-72.0,26.0
Asuka 881670,H4,13.3,Found,1988,-72.0,26.0
Asuka 881688,H6,31.56,Found,1988,-72.0,26.0
Asuka 881702,H5,19.03,Found,1988,-72.0,26.0
Asuka 881714,H4,45.54,Found,1988,-72.0,26.0
Asuka 881727,H3,26.96,Found,1988,-72.0,26.0
Asuka 881738,L6,530.84,Found,1988,-72.0,26.0
Asuka 881748,L4,13.57,Found,1988,-72.0,26.0
Asuka 881759,LL3,14.25,Found,1988,-72.0,26.0
Asuka 881769,L4,1079.28,Found,1988,-72.0,26.0
Asuka 881777,L6,55.24,Found,1988,-72.0,26.0
Asuka 881789,H4,272.39,Found,1988,-72.0,26.0
Asuka 881798,H4,373.68,Found,1988,-72.0,26.0
Asuka 881808,LL3,154.76,Found,1988,-72.0,26.0
Asuka 881817,H5,156.56,Found,1988,-72.0,26.0
Asuka 881833,L6,264.83,Found,1988,-72.0,26.0
Asuka 881844,H5,130.71,Found,1988,-72.0,26.0
Asuka 881854,L6,171.3,Found,1988,-72.0,26.0
Asuka 881863,H4,86.7,Found,1988,-72.0,26.0
Asuka 881872,LL3,81.9,Found,1988,-72.0,26.0
Asuka 881883,H4,51.3,Found,1988,-72.0,26.0
Asuka 881893,H6,87.58,Found,1988,-72.0,26.0
Asuka 881905,L6,23.77,Found,1988,-72.0,26.0
Asuka 881916,H4,69.16,Found,1988,-72.0,26.0
Asuka 881927,H6,11.84,Found,1988,-72.0,26.0
Cumulus Hills 04067,Pallasite,7561.9,Found,2003,,
Asuka 881945,H5,64.29,Found,1988,-72.0,26.0
Asuka 881958,H5,154.06,Found,1988,-72.0,26.0
Asuka 881968,H5,26.04,Found,1988,-72.0,26.0
Asuka 881980,H4,400.9,Found,1988,-72.0,26.0
Asuka 881989,Ureilite,38.62,Found,1988,-72.0,26.0
Asuka 881999,H4,201.75,Found,1988,-72.0,26.0
Asuka 882009,H5,89.96,Found,1988,-72.0,26.0
Asuka 882018,L,60.66,Found,1988,-72.0,26.0
Asuka 882029,L6,273.4,Found,1988,-72.0,26.0
Asuka 882039,EL6,383.92,Found,1988,-72.0,26.0
Asuka 882049,H6,250.83,Found,1988,-72.0,26.0
Asuka 882059,EH3,33.52,Found,1988,-72.0,26.0
Asuka 882069,H4,264.61,Found,1988,-72.0,26.0
Asuka 882082,H5,48.97,Found,1988,-72.0,26.0
Asuka 882091,H5,189.63,Found,1988,-72.0,26.0
Asuka 882099,LL4,22.19,Found,1988,-72.0,26.0
Asuka 882109,L,171.03,Found,1988,-72.0,26.0
Asuka 882121,H6,3686,Found,1988,-72.0,26.0
Asuka 9030,L6,67.1,Found,1990,-72.0,26.0
Atwood,L6,2100,Found,1963,40.517,-103.267
Axtell,CV3,6200,Found,1943,31.66,-96.972
Bakhardok,L6,4120,Found,1978,38.6,58.0
Barbacena,"Iron, ungrouped",9026,Found,1918,-21.217,-43.933
Bates Nunataks 00300,Eucrite-unbr,124.6,Found,2000,-80.25,153.5
Bates Nunataks 00310,LL6,20.61,Found,2000,-80.25,153.5
Baygorria,"Iron, IAB complex",80000,Found,1994,-33.0,-56.0
Beckett Nunatak 92601,L6,104,Found,1992,-76.033,160.183
Bella Roca,"Iron, IIIAB",33000,Found,1888,24.9,-105.4
Bendegó,"Iron, IC",5360000,Found,1784,-10.117,-39.2
Berdyansk,L6,2250,Found,1843,46.75,36.817
Biduna Blowhole 004,H5,114.5,Found,2011,-31.033,131.286
Bir Hadi,H5,855,Found,1958,19.417,51.033
Bir Zar 007,L6,5.2,Found,2008,31.922,10.188
Blackwater Draw,H4,1500,Found,1979,34.206,-103.222
Bluebird,L6,3650,Found,2002,35.867,-114.192
Bluewing 007,L4,324,Found,1999,40.282,-118.949
Bluewing 036,L6,10.47,Found,1999,40.267,-118.933
Bogoslovka,H5,2180,Found,1948,52.5,68.8
Boolka,H5,12000,Found,1968,-30.067,141.067
Bou Kra 004,Eucrite-mmict,272.75,Found,2010,26.707,-12.759
Bowesmont,L6,2270,Found,1962,48.683,-97.167
Brewster,L6,17000,Found,1940,39.25,-101.333
Bronco (b),OC,101,Found,1980,33.275,-102.96
Bruno,"Iron, IIAB",13000,Found,1931,52.267,-105.35
Buckley Island 10932,L6,879.9,Found,2010,0.0,0.0
Buckley Island 10942,L6,95.4,Found,2010,0.0,0.0
Buckley Island 10951,L6,26.1,Found,2010,0.0,0.0
Budulan,Mesosiderite-B4,100000,Found,1962,50.567,114.9
Burkhala,"Iron, IAB-ung",1825,Found,1983,63.8,149.0
Butler,"Iron, ungrouped",41000,Found,1874,38.3,-94.367
Caleta el Cobre 001,H6,9,Found,2010,-24.266,-70.033
Caleta el Cobre 010,L4,47,Found,2010,-24.25,-70.517
Calico Rock,"Iron, IIAB",7275,Found,1938,36.083,-92.15
Camel Donga 006,H6,50.96,Found,1992,-30.292,126.588
Camel Donga 015,H6,0.3,Found,1993,-30.12,126.898
Camel Donga 024,L6,0.65,Found,1994,-30.099,126.885
Camel Donga 033,LL6,0.95,Found,1994,-30.092,126.889
Camel Donga 042,H3,37.6,Found,1993,-30.123,126.888
Camel Donga 051,H5,5,Found,1993,-30.309,126.585
Canyon,H?,860,Found,1957,34.967,-101.933
Carbo,"Iron, IID",454000,Found,1923,29.667,-111.5
Carlisle Lakes 005,H5,502,Found,1977,-29.183,127.167
Casey County,"Iron, IAB-MG",723,Found,1877,37.25,-85.0
Catalina 004,Mesosiderite,37.5,Found,2010,-25.233,-69.717
Catalina 013,H4,428,Found,2010,-25.233,-69.717
Catalina 024,H4,312,Found,2009,-25.233,-69.717
Catalina 034,LL5,20,Found,2010,-25.233,-69.717
Cee Vee,H5,3600,Found,1959,34.2,-100.483
Channing,H5,15300,Found,1936,35.717,-102.283
Chico Mountains,"Iron, IIAB",212,Found,1915,29.0,-103.25
Chulafinnee,"Iron, IIIAB",16220,Found,1873,33.5,-85.667
Clark County,"Iron, IIIF",11300,Found,1937,38.0,-84.167
Clover Springs,Mesosiderite-A2,7700,Found,1954,34.45,-111.367
Coffeyville,H5,35900,Found,2006,37.017,-95.667
Colony,CO3.0,3912,Found,1975,35.35,-98.683
Conception Junction,"Pallasite, PMG-an",17000,Found,2006,40.267,-94.683
Cook 006,L4,41.8,Found,1991,-30.507,130.404
Coolamon,L6,393,Found,1921,-34.817,147.133
Copiapo,"Iron, IAB-MG",20000,Found,1863,-27.3,-70.4
Cosmo Newberry,"Iron, IIAB",2156,Found,1980,-27.95,122.883
Coyote Dry Lake 003,H5,255.72,Found,1998,35.088,-116.754
Coyote Dry Lake 080,H5,278.1,Found,1999,35.074,-116.761
Coyote Dry Lake 129,H5,140,Found,2000,35.069,-116.75
Coyote Dry Lake 153,H5,13.87,Found,2001,35.074,-116.764
Coyote Dry Lake 176,H6,187.55,Found,2003,35.055,-116.73
Coyote Dry Lake 275,H4,16.2,Found,2006,35.051,-116.767
Cranbourne,"Iron, IAB-MG",8600000,Found,1854,-38.1,145.3
Cruz del Eje,"Iron, IAB complex",14000,Found,1971,-30.75,-64.783
Cuddeback Dry Lake 008,L6,18.02,Found,2000,35.283,-117.483
Cuddeback Dry Lake 019,L6,10.1,Found,2008,35.305,-117.458
Cumulus Hills 04001,L5,406.2,Found,2003,,
Cumulus Hills 04010,LL5,184.5,Found,2003,,
Cumulus Hills 04019,H6,134.9,Found,2003,,
Cumulus Hills 04028,L5,116.6,Found,2004,,
Cumulus Hills 04037,H5,56,Found,2004,,
Cumulus Hills 04077,Pallasite,9625,Found,2003,,
Dalgety Downs,L4,257000,Found,1941,-25.333,116.183
Daoura,L4,35,Found,1952,29.583,-3.75
Dar al Gani 009,H6,2235,Found,1995,27.153,16.157
Dar al Gani 018,H5,287,Found,1995,27.092,16.3
Dar al Gani 027,CO3,281,Found,1995,27.128,15.971
Dar al Gani 038,LL6,674,Found,1995,27.11,16.352
Dar al Gani 047,L6,240,Found,1995,27.275,16.094
Dar al Gani 056,C3-ung,703,Found,1995,27.268,16.413
Dar al Gani 065,L5,90,Found,1995,27.416,16.194
Dar al Gani 074,H5/6,86,Found,1995,27.16,16.035
Dar al Gani 083,CO3,622,Found,1995,27.16,15.963
Dar al Gani 092,L6,137,Found,1995,27.233,16.029
Dar al Gani 1001,H6,132,Found,1999,27.377,16.302
Dar al Gani 101,H6,842,Found,1996,27.13,16.069
Dar al Gani 1018,H5,181.88,Found,1999,27.632,16.087
Dar al Gani 1026,L3,214,Found,1999,26.907,16.681
Dar al Gani 1034,LL6,232,Found,1999,27.667,15.95
Dar al Gani 1042,Lunar,801,Found,1999,27.182,16.3
Dar al Gani 1051,Martian (shergottite),40.1,Found,2000,27.169,16.135
Dar al Gani 1060,Eucrite,310,Found,2010,26.919,16.657
Dar al Gani 113,H5,290,Found,1996,27.183,16.115
Dar al Gani 122,H6,182,Found,1996,27.108,16.036
Dar al Gani 131,L6,114,Found,1996,27.136,16.32
Dar al Gani 141,L5,145,Found,1996,27.191,16.278
Dar al Gani 151,H5,130,Found,1996,27.185,16.134
Dar al Gani 160,H4,347,Found,1996,27.138,16.272
Dar al Gani 170,H5-6,759,Found,1996,27.7,15.727
Dar al Gani 179,H4,72,Found,1996,27.152,16.197
Dar al Gani 188,CO3,828,Found,1996,27.171,15.945
Dar al Gani 197,H5,46,Found,1996,27.038,16.468
Dar al Gani 206,L6,122,Found,1996,27.625,15.982
Dar al Gani 215,H6,3600,Found,1996,27.128,16.104
Dar al Gani 224,H6,205,Found,1996,27.564,16.152
Dar al Gani 234,L6,244,Found,1997,27.177,16.267
Dar al Gani 243,L6,297,Found,1997,27.216,16.032
Dar al Gani 252,LL6,206,Found,1997,27.114,16.355
Dar al Gani 261,H5/6,220,Found,1997,27.165,16.021
Dar al Gani 270,H5-6,175,Found,1997,27.184,16.129
Dar al Gani 279,H5,120,Found,1997,27.378,16.312
Dar al Gani 288,LL3,110,Found,1997,27.327,16.096
Dar al Gani 298,LL4,2459,Found,1997,26.789,16.705
Dar al Gani 307,L6,370,Found,1997,27.524,16.151
Dar al Gani 316,L6,721,Found,1997,27.244,16.081
Dar al Gani 325,H5,274,Found,1997,28.206,15.636
Dar al Gani 334,L6,422,Found,1997,27.155,16.282
Dar al Gani 343,H4,103,Found,1997,27.155,16.079
Dar al Gani 352,L5,111,Found,1997,27.239,16.13
Dar al Gani 362,L6,527,Found,1997,27.859,15.882
Dar al Gani 371,H6,48,Found,1997,27.835,15.844
Dar al Gani 380,Eucrite-mmict,661,Found,1997,27.442,16.082
Dar al Gani 389,H5,61,Found,1997,27.461,16.195
Dar al Gani 398,H6,502,Found,1998,27.837,15.825
Dar al Gani 407,H6,157,Found,1998,27.409,16.268
Dar al Gani 416,H4,347,Found,1998,27.466,15.914
Dar al Gani 426,H4/5,206,Found,1998,27.379,16.458
Dar al Gani 435,H4-6,192,Found,1998,27.222,16.245
Dar al Gani 444,LL4-5,164,Found,1998,27.388,16.157
Dar al Gani 454,H3.9,161,Found,1998,27.788,15.855
Dar al Gani 463,L6,1916,Found,1998,27.012,15.865
Dar al Gani 472,LL6,482,Found,1998,27.791,15.965
Dar al Gani 481,L6,258,Found,1998,27.369,16.285
Dar al Gani 491,H4,16,Found,1997,27.267,16.067
Dar al Gani 500,H4/5,1030,Found,1997,27.331,16.283
Dar al Gani 509,H4,51,Found,1997,27.267,16.067
Dar al Gani 518,H6,114,Found,1997,27.142,16.087
Dar al Gani 527,L6,63,Found,1997,27.018,16.088
Dar al Gani 536,H6,60,Found,1997,27.201,16.355
Dar al Gani 545,H4,454,Found,1997,27.203,16.082
Dar al Gani 555,L6,11,Found,1997,27.272,16.057
Dar al Gani 564,H6,167.69,Found,1997,26.895,16.552
Dar al Gani 574,CR2,32.5,Found,1998,27.432,16.252
Dar al Gani 583,L6,89.6,Found,1998,27.124,16.112
Dar al Gani 592,L5,182.7,Found,1998,27.634,16.029
Dar al Gani 601,CO3,131,Found,1998,27.07,16.071
Dar al Gani 610,H4,44000,Found,1998,26.85,16.733
Dar al Gani 620,L6,335,Found,1998,27.484,16.305
Dar al Gani 629,H5,65,Found,1998,27.235,16.338
Dar al Gani 638,H4,8170,Found,1998,26.95,16.15
Dar al Gani 647,Eucrite-mmict,1425,Found,1997,27.167,16.133
Dar al Gani 656,L6,578,Found,1999,26.967,16.417
Dar al Gani 665,Ureilite-pmict,363,Found,1999,27.05,16.35
Dar al Gani 674,L6,252,Found,1999,26.983,16.383
Dar al Gani 684,Eucrite,2210,Found,1999,27.083,16.383
Dar al Gani 693,Ureilite,8,Found,1999,27.083,16.367
Dar al Gani 702,L6,96,Found,1999,26.983,16.4
Dar al Gani 711,L6,15,Found,1999,27.167,16.433
Dar al Gani 720,H6,58,Found,1999,26.983,16.383
Dar al Gani 729,L5/6,586,Found,1999,27.1,16.35
Dar al Gani 738,H6,257,Found,1998,27.109,16.06
Dar al Gani 748,H5,265,Found,1998,27.279,16.216
Dar al Gani 757,L6,505,Found,1999,27.832,15.885
Dar al Gani 766,H4,1806,Found,1999,26.971,16.537
Dar al Gani 775,H5,596,Found,1999,26.968,16.45
Dar al Gani 784,H5,50.7,Found,2000,26.983,16.44
Dar al Gani 793,LL6,109,Found,2000,27.464,16.146
Dar al Gani 802,H6,230,Found,2000,27.006,16.473
Dar al Gani 812,H5,2022,Found,2000,26.959,16.456
Dar al Gani 821,H4/5,1103,Found,2000,26.995,16.447
Dar al Gani 830,Ureilite,53.1,Found,2000,27.048,16.384
Dar al Gani 839,H5,12.6,Found,2000,26.991,16.456
Dar al Gani 848,CO3,59,Found,1999,27.083,16.053
Dar al Gani 857,Ureilite,72,Found,1999,27.041,16.372
Dar al Gani 866,L5,261,Found,1999,27.25,16.133
Dar al Gani 876,Martian (shergottite),6.2,Found,1998,27.5,16.5
Dar al Gani 885,H6,102,Found,2000,26.1,16.067
Dar al Gani 894,L3/4,78,Found,2000,27.233,16.1
Dar al Gani 903,H3-6,114,Found,2000,27.123,16.506
Dar al Gani 918,H3-5,200,Found,2000,27.2,16.083
Dar al Gani 927,H6,367,Found,2000,26.983,16.583
Dar al Gani 936,H3-5,522,Found,2000,27.217,16.117
Dar al Gani 947,LL6,436,Found,2000,27.447,16.319
Dar al Gani 956,L6,15000,Found,1997,27.133,15.992
Dar al Gani 965,LL5,216,Found,1998,26.942,16.421
Dar al Gani 974,CR,107,Found,1999,27.029,16.372
Dar al Gani 983,Eucrite-pmict,933,Found,2002,26.738,16.899
Dar al Gani 992,L6,82,Found,2002,27.364,16.28
Daraj 002,L4,4000,Found,1986,29.865,11.692
Daraj 101,H5,2800,Found,1986,29.648,11.747
Daraj 113,H4,226,Found,1986,29.413,11.953
Daraj 127,H5,242,Found,1986,29.6,12.239
Daraj 139,H5,244,Found,1986,29.583,11.783
David Glacier 92301,LL5,108.7,Found,1992,-75.317,162.0
Davy (a),L4,50600,Found,1940,29.1,-97.6
Deakin 002,H4,4.5,Found,1978,-30.883,128.975
Deelfontein,"Iron, IAB-MG",28000,Found,1932,-30.183,23.267
Delphos (c),L5,885,Found,1977,34.05,-103.633
Densmore (1950),H6,11300,Found,1950,39.566,-99.647
Derrick Peak 88017,"Iron, IIAB",63000,Found,1988,-80.067,156.383
Derrick Peak 88025,"Iron, IIAB",1797,Found,1988,-80.067,156.383
Derrick Peak A78009,"Iron, IIAB",138100,Found,1978,-80.067,156.383
Devil Peak,L6,34.7,Found,1999,35.659,-115.373
Dhofar 009,L6,2102,Found,1999,18.282,54.11
Dhofar 018,Howardite,833,Found,2000,18.302,54.153
Dhofar 026,Lunar (anorth),148,Found,2000,18.227,54.112
Dhofar 035,H6,326,Found,1999,19.163,54.637
Dhofar 044,L5,784,Found,1999,19.119,54.795
Dhofar 053,H5,90,Found,1999,19.211,54.719
Dhofar 062,L4/5,275,Found,1999,19.178,54.874
Dhofar 072,H5,112,Found,1999,19.157,54.867
Dhofar 081,Lunar (anorth),174,Found,1999,19.322,54.783
Dhofar 090,H4,690,Found,1999,18.261,54.325
Dhofar 099,L5,504,Found,1999,18.857,54.485
Dhofar 1007,L4,87.77,Found,2003,18.545,54.02
Dhofar 1015,EH4,63.53,Found,2002,18.559,54.082
Dhofar 1023,L(LL)3,69.7,Found,2001,19.288,54.528
Dhofar 1032,L4/5,81.1,Found,2003,18.428,54.171
Dhofar 1040,H5,361,Found,2000,18.786,54.63
Dhofar 1049,L5,121,Found,2000,18.926,54.702
Dhofar 1057,L6,28,Found,2000,18.815,54.633
Dhofar 1065,H5,753,Found,2000,18.874,54.586
Dhofar 1073,CV3,2.72,Found,,19.333,54.782
Dhofar 1081,L5,833,Found,2001,18.745,54.198
Dhofar 1103,H4,316,Found,2004,19.092,54.806
Dhofar 1136,H5,356,Found,2005,19.275,54.673
Dhofar 1168,L4,60.8,Found,2005,19.226,54.967
Dhofar 1190,H4,35,Found,2002,19.137,54.563
Dhofar 122,L6,1556,Found,2000,18.985,54.625
Dhofar 1243,LL4,2510,Found,2005,18.876,54.473
Dhofar 1275,L7,4999,Found,2003,18.829,54.64
Dhofar 1285,Ureilite,406,Found,2002,19.302,54.555
Dhofar 1294,L/LL5,86,Found,2003,19.398,54.53
Dhofar 1303,Ureilite,404,Found,2002,19.302,54.555
Dhofar 1311,H5,66,Found,2005,19.315,54.53
Dhofar 134,H6,868,Found,2000,19.049,54.583
Dhofar 1401,LL~6,42.03,Found,2001,19.191,54.655
Dhofar 141,LL4,160,Found,2000,18.358,54.353
Dhofar 1419,L~6,47.14,Found,2001,19.138,54.674
Dhofar 1427,Ureilite,12.92,Found,2001,19.113,54.819
Dhofar 1435,H5,11.7,Found,2007,18.249,54.004
Dhofar 1443,Lunar,36.7,Found,2001,18.417,54.425
Dhofar 1452,L~6,163,Found,2008,19.016,54.368
Dhofar 1461,L~6,44.7,Found,2008,19.019,54.369
Dhofar 147,L4,200,Found,2000,18.436,54.236
Dhofar 1480,Eucrite-pmict,57.7,Found,2003,19.166,54.672
Dhofar 1488,Eucrite-pmict,3.9,Found,2003,19.168,54.672
Dhofar 1496,LL(L)3,1000,Found,2008,18.687,54.42
Dhofar 1504,L~5,208.2,Found,2009,18.224,54.246
Dhofar 1513,L5,3782,Found,2009,19.338,54.533
Dhofar 1521,L6,1940,Found,2008,18.402,54.547
Dhofar 153,H6,1025,Found,2000,19.111,54.816
Dhofar 1539,H4,1614,Found,2006,18.267,54.425
Dhofar 1547,H4,380,Found,2008,18.585,54.28
Dhofar 1555,H4,605,Found,2009,18.647,54.528
Dhofar 1566,LL5-6,605,Found,2008,18.242,54.106
Dhofar 1576,L5,7700,Found,2010,18.517,54.233
Dhofar 1584,H5,194,Found,2004,18.421,54.428
Dhofar 1592,H5,274,Found,2004,18.918,54.354
Dhofar 161,L4,2506.1,Found,2000,19.271,54.847
Dhofar 1624,H-melt rock,621,Found,2009,18.164,54.275
Dhofar 1633,H5,88,Found,2004,19.142,54.769
Dhofar 1641,CO3,390,Found,2009,18.472,54.128
Dhofar 165,H6,92,Found,2000,19.055,54.579
Dhofar 1658,LL6,3150,Found,2011,18.36,54.407
Dhofar 1666,L4,1300,Found,2011,19.181,54.925
Dhofar 1675,Eucrite-pmict,168,Found,2004,18.259,54.029
Dhofar 1683,H5,318.6,Found,2011,19.654,54.238
Dhofar 1691,H5-6,105.5,Found,2011,18.211,54.3
Dhofar 170,H6,176.2,Found,2000,19.054,54.567
Dhofar 1708,H5,124,Found,2010,18.992,54.595
Dhofar 1717,L3,211,Found,2010,19.082,54.715
Dhofar 1725,L5,263,Found,2011,19.187,54.882
Dhofar 1738,L5,853,Found,,19.327,54.907
Dhofar 1746,H5,19.2,Found,,19.057,54.513
Dhofar 1754,Howardite,580,Found,2001,19.393,54.554
Dhofar 184,L6,66.6,Found,2000,18.856,54.475
Dhofar 193,H4,582,Found,2000,18.687,54.418
Dhofar 202,H4-5,1178.1,Found,2000,19.417,54.757
Dhofar 211,H4,255,Found,2001,18.257,54.182
Dhofar 221,L5,3536,Found,2000,18.252,54.198
Dhofar 230,H4,144,Found,2001,18.998,54.585
Dhofar 240,L5,82.6,Found,2001,19.148,54.778
Dhofar 249,H6,36.6,Found,2001,18.987,54.602
Dhofar 258,H5,110.2,Found,2001,18.709,54.303
Dhofar 267,H5,1910,Found,2000,18.327,54.218
Dhofar 277,L6,1930,Found,2001,18.348,54.337
Dhofar 286,L6,1453,Found,2001,18.127,54.115
Dhofar 295,Ureilite,48,Found,2002,19.208,54.64
Dhofar 304,Lunar (anorth),10,Found,2001,18.403,54.15
Dhofar 313,H5,200,Found,2001,18.452,54.032
Dhofar 322,H5,658,Found,2000,18.337,54.222
Dhofar 331,H5,946,Found,2000,18.142,54.087
Dhofar 341,H5,116,Found,2000,19.328,54.705
Dhofar 350,H5,112,Found,2001,18.822,54.227
Dhofar 359,H5-6,569,Found,2000,18.431,54.456
Dhofar 369,L4,269,Found,2000,19.079,54.794
Dhofar 378,Martian (shergottite),15,Found,2000,18.158,54.113
Dhofar 387,L6,491,Found,2001,19.106,54.81
Dhofar 396,H5,1033,Found,2001,19.036,54.885
Dhofar 407,L5,403,Found,2001,19.285,54.534
Dhofar 419,H6,68,Found,2001,18.763,54.278
Dhofar 429,H4,189,Found,2001,18.809,54.505
Dhofar 438,L6,566,Found,2001,18.795,54.582
Dhofar 450,L6,104,Found,2001,18.913,54.484
Dhofar 460,Lunar (anorth),73.1,Found,2001,18.249,54.007
Dhofar 469,H3-4,309,Found,2001,19.241,54.937
Dhofar 479,H6,2512,Found,2001,19.201,54.652
Dhofar 488,H6,652,Found,2001,19.106,55.046
Dhofar 497,L4,710,Found,2000,18.967,54.642
Dhofar 506,H4,340,Found,2000,18.308,54.173
Dhofar 515,H5,315,Found,2000,19.007,54.393
Dhofar 524,L5,204,Found,2000,19.098,54.5
Dhofar 533,L6,308,Found,2000,18.178,54.182
Dhofar 543,H6,265,Found,2001,19.275,54.459
Dhofar 552,H5,362,Found,2001,18.717,54.368
Dhofar 561,H5,692,Found,2001,18.727,54.371
Dhofar 570,L5,73,Found,2001,18.701,54.369
Dhofar 579,H5/6,206,Found,2001,18.72,54.197
Dhofar 592,L5/6,108,Found,2001,18.692,54.191
Dhofar 601,H6,226,Found,2001,18.688,54.679
Dhofar 611,H4,99,Found,2001,19.139,54.881
Dhofar 620,L6,154,Found,2001,19.167,54.657
Dhofar 629,H5,830,Found,2001,19.109,54.816
Dhofar 638,L6,103,Found,2001,19.203,54.656
Dhofar 647,L6,147,Found,2001,19.182,54.687
Dhofar 656,H4,724,Found,2001,19.091,54.796
Dhofar 665,H5/6,233,Found,2001,19.108,54.812
Dhofar 675,Ureilite,40,Found,2001,19.213,54.629
Dhofar 684,L5,405,Found,2001,19.313,54.719
Dhofar 693,H5,101,Found,2001,19.421,54.795
Dhofar 702,H4,2878,Found,2002,19.165,54.777
Dhofar 711,L5,370,Found,2001,18.498,54.043
Dhofar 720,H4,392,Found,2000,18.945,54.895
Dhofar 731,Lunar (anorth),36,Found,2002,19.333,54.795
Dhofar 749,LL6,1730,Found,2000,18.877,54.78
Dhofar 758,L6,253,Found,2000,18.965,54.757
Dhofar 767,H6,317,Found,2000,18.832,54.766
Dhofar 776,L5,121,Found,2000,18.862,54.679
Dhofar 785,H4/5,98.45,Found,2001,19.082,54.452
Dhofar 794,H6,431.81,Found,2001,19.052,54.463
Dhofar 803,H6,22.43,Found,2001,19.059,54.535
Dhofar 813,L5,75.87,Found,2001,18.55,54.12
Dhofar 822,L5,39.3,Found,2001,19.049,54.493
Dhofar 831,H4,22.29,Found,2001,19.048,54.489
Dhofar 840,H4,126,Found,2002,19.342,54.56
Dhofar 849,L6,146,Found,2001,18.182,54.097
Dhofar 858,H3.9,88,Found,2001,18.222,54.1
Dhofar 910,Lunar (anorth),142,Found,,19.332,54.779
Dhofar 920,L6,26,Found,2003,18.918,54.408
Dhofar 929,L5,602,Found,2002,18.517,54.228
Dhofar 938,LL5,1248,Found,2002,19.405,54.575
Dhofar 948,L5,158,Found,2002,19.398,54.595
Dhofar 957,H4,550,Found,2002,19.092,54.387
Dhofar 968,H4,79,Found,2004,19.297,54.934
Dhofar 979,Ureilite,1063,Found,2004,19.757,54.937
Dhofar 995,H5,243.2,Found,2003,19.14,54.681
Dimmitt (b),OC,2800,Found,1981,34.483,-102.328
Dolores,"Iron, IIIAB",4333,Found,2001,-19.65,-69.95
Dominion Range 03188,L5,701.4,Found,2002,,
Dominion Range 03197,LL5,188.6,Found,2002,,
Dominion Range 03206,H4,70.2,Found,2002,,
Dominion Range 03215,H5,17.3,Found,2002,,
Dominion Range 03225,L5,11.6,Found,2002,,
Dominion Range 03234,L5,17,Found,2002,,
Dominion Range 03258,LL5,393.8,Found,2002,,
Dominion Range 03267,LL5,72.5,Found,2002,,
Dominion Range 03276,LL5,25.53,Found,2003,,
Dominion Range 03285,L6,25.46,Found,2003,,
Dominion Range 03294,L5,31.3,Found,2002,,
Dominion Range 03303,LL5,21.3,Found,2002,,
Dominion Range 03312,H5,16.52,Found,2003,,
Dominion Range 08002,LL-imp melt,173.2,Found,2008,0.0,0.0
Dominion Range 08011,Eucrite-br,3.4,Found,2008,0.0,0.0
Dominion Range 08021,LL5,1009.1,Found,2008,0.0,0.0
Dominion Range 08030,L5,255.3,Found,2008,0.0,0.0
